이름,학교,학년,전화번호,이메일,지역(영문),지역(한글),접수유형,입금상태,참가비,신청일
박승현,대전외고등학교,3,010-4413-1430,student167@example.com,Daejeon,대전광역시,individual,confirmed,20000,2026-02-01
최지한,충남고등학교,3,010-6202-3432,student168@example.com,Daejeon,대전광역시,individual,confirmed,20000,2026-02-12
박수빈,대전외고등학교,3,010-4697-4312,,Daejeon,대전광역시,individual,confirmed,20000,2026-02-12
임지우,대전고등학교,1,010-8004-9425,student170@example.com,Daejeon,대전광역시,individual,confirmed,20000,2026-02-03
권서윤,충남고등학교,3,010-2227-8799,student171@example.com,Daejeon,대전광역시,individual,confirmed,20000,2026-02-08
오하은,충남고등학교,3,010-7746-7058,,Daejeon,대전광역시,individual,confirmed,20000,2026-02-03
류민준,충남고등학교,2,010-8621-1640,student173@example.com,Daejeon,대전광역시,group,pending,20000,2026-02-16
오현우,대전고등학교,3,010-8941-3615,,Daejeon,대전광역시,group,pending,20000,2026-02-05
송건우,대전고등학교,1,010-7662-7836,student175@example.com,Daejeon,대전광역시,individual,pending,20000,2026-02-10
안주원,대전고등학교,1,010-3619-9987,,Daejeon,대전광역시,individual,pending,20000,2026-02-19
윤지민,울산고등학교,1,010-7706-4513,student177@example.com,Ulsan,울산광역시,individual,pending,20000,2026-02-20
박주원,학성고등학교,3,010-4097-1748,,Ulsan,울산광역시,individual,confirmed,20000,2026-02-17
송지훈,학성고등학교,1,010-6435-4997,,Ulsan,울산광역시,individual,pending,20000,2026-02-17
박지훈,울산고등학교,2,010-7712-2995,student180@example.com,Ulsan,울산광역시,group,confirmed,20000,2026-02-07
조예준,울산고등학교,1,010-7580-8083,student181@example.com,Ulsan,울산광역시,group,confirmed,20000,2026-02-05
홍지호,울산고등학교,1,010-1355-4065,,Ulsan,울산광역시,individual,confirmed,20000,2026-02-05
서예은,울산고등학교,1,010-6452-6919,,Ulsan,울산광역시,individual,confirmed,20000,2026-02-09
황수아,학성고등학교,2,010-8071-1777,student184@example.com,Ulsan,울산광역시,group,confirmed,20000,2026-02-05
최서연,두루고등학교,1,010-7565-7287,,Sejong-si,세종특별자치시,individual,confirmed,20000,2026-02-18
임지호,세종고등학교,3,010-8352-8883,,Sejong-si,세종특별자치시,group,pending,20000,2026-02-09
송주원,두루고등학교,2,010-8885-5754,student187@example.com,Sejong-si,세종특별자치시,group,pending,20000,2026-02-06
박지우,안양고등학교,1,010-5987-7365,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-01
권서윤,과천고등학교,1,010-8917-3916,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-19
강지호,과천고등학교,3,010-8123-8966,student190@example.com,Gyeonggi-do,경기도,group,pending,20000,2026-02-14
오지훈,성남고등학교,3,010-7252-8542,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-05
오건우,성남고등학교,3,010-4954-8421,,Gyeonggi-do,경기도,group,pending,20000,2026-02-03
윤주원,용인외고등학교,2,010-7976-2061,student193@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-03
신지민,수원고등학교,3,010-3759-5309,student194@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-16
한지호,수원고등학교,2,010-3992-4313,,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-11
서서연,과천고등학교,2,010-7502-4256,student196@example.com,Gyeonggi-do,경기도,individual,pending,20000,2026-02-03
박수아,고양고등학교,1,010-4861-9687,,Gyeonggi-do,경기도,group,pending,20000,2026-02-06
강건우,수원고등학교,3,010-8277-4725,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-01
이소율,용인외고등학교,1,010-6133-3916,,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-13
임승현,안양고등학교,1,010-7064-5611,student200@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-17
류준서,과천고등학교,1,010-4974-8310,student201@example.com,Gyeonggi-do,경기도,individual,pending,20000,2026-02-10
홍수빈,수원고등학교,1,010-2219-3534,,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-06
최지한,성남고등학교,1,010-5881-9503,student203@example.com,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-05
황준서,용인외고등학교,1,010-2258-6057,student204@example.com,Gyeonggi-do,경기도,individual,pending,20000,2026-02-06
신예준,용인외고등학교,3,010-9227-1173,,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-07
강준서,용인외고등학교,1,010-1329-7006,,Gyeonggi-do,경기도,group,pending,20000,2026-02-15
최지호,성남고등학교,3,010-9481-8638,student207@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-16
김지한,과천고등학교,3,010-4818-8613,student208@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-19
최현우,성남고등학교,2,010-4553-6020,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-06
임소율,수원고등학교,2,010-4883-5833,,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-12
류소율,수원고등학교,3,010-6817-6136,,Gyeonggi-do,경기도,individual,pending,20000,2026-02-14
이지호,안양고등학교,2,010-8334-8293,,Gyeonggi-do,경기도,individual,pending,20000,2026-02-08
안채원,안양고등학교,3,010-3058-9813,student213@example.com,Gyeonggi-do,경기도,group,pending,20000,2026-02-16
안지한,안양고등학교,1,010-7722-1101,student214@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-14
류승현,안양고등학교,3,010-6534-4306,student215@example.com,Gyeonggi-do,경기도,group,pending,20000,2026-02-18
이유진,안양고등학교,1,010-5331-4466,student216@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-09
장지우,수원고등학교,1,010-9273-2343,,Gyeonggi-do,경기도,individual,pending,20000,2026-02-07
오민준,성남고등학교,3,010-9257-4991,student218@example.com,Gyeonggi-do,경기도,group,pending,20000,2026-02-06
장수아,고양고등학교,3,010-8606-7165,student219@example.com,Gyeonggi-do,경기도,group,pending,20000,2026-02-01
한지한,고양고등학교,1,010-2531-2820,student220@example.com,Gyeonggi-do,경기도,group,pending,20000,2026-02-20
김하준,과천고등학교,3,010-5948-9843,,Gyeonggi-do,경기도,individual,pending,20000,2026-02-07
홍건우,안양고등학교,1,010-6179-2541,student222@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-02
한예준,용인외고등학교,2,010-2821-4249,student223@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-15
정유진,성남고등학교,1,010-4357-2603,,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-15
신유진,용인외고등학교,1,010-4788-8164,student225@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-07
윤민준,안양고등학교,1,010-2263-5932,student226@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-02
강유진,성남고등학교,1,010-1916-1105,student227@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-06
신지민,용인외고등학교,1,010-5763-9870,student228@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-20
한예은,용인외고등학교,1,010-8982-3692,student229@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-11
강예은,용인외고등학교,3,010-8989-5125,student230@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-20
강유진,용인외고등학교,2,010-6901-3954,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-08
안수아,고양고등학교,1,010-1338-6702,student232@example.com,Gyeonggi-do,경기도,individual,pending,20000,2026-02-06
이예은,과천고등학교,2,010-2955-2651,student233@example.com,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-13
장현우,수원고등학교,2,010-7682-2959,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-06
임서윤,고양고등학교,1,010-9475-6702,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-16
오유진,과천고등학교,1,010-4669-4385,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-08
조준서,성남고등학교,3,010-7701-2620,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-18
최채원,안양고등학교,3,010-8949-9122,student238@example.com,Gyeonggi-do,경기도,individual,pending,20000,2026-02-07
류시우,용인외고등학교,3,010-8071-4509,,Gyeonggi-do,경기도,individual,pending,20000,2026-02-01
오수빈,용인외고등학교,3,010-8047-4572,student240@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-07
송채원,수원고등학교,1,010-5615-7210,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-16
윤태윤,수원고등학교,1,010-4287-6789,student242@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-13
박승현,수원고등학교,3,010-4292-7552,,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-13
신채원,안양고등학교,2,010-5130-5408,,Gyeonggi-do,경기도,individual,pending,20000,2026-02-11
최하준,용인외고등학교,3,010-4407-5557,student245@example.com,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-05
정현우,과천고등학교,1,010-9095-4482,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-06
이서연,수원고등학교,3,010-7298-8423,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-01
오주원,수원고등학교,3,010-2996-8868,student248@example.com,Gyeonggi-do,경기도,group,confirmed,20000,2026-02-06
홍지훈,수원고등학교,1,010-7250-7206,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-10
조유진,수원고등학교,2,010-3217-3399,student250@example.com,Gyeonggi-do,경기도,individual,pending,20000,2026-02-12
최승현,과천고등학교,3,010-4654-8419,,Gyeonggi-do,경기도,group,pending,20000,2026-02-06
서하준,수원고등학교,2,010-6100-1803,,Gyeonggi-do,경기도,individual,confirmed,20000,2026-02-15
강현우,충북고등학교,1,010-3194-8683,student253@example.com,Chungcheongbuk-do,충청북도,individual,confirmed,20000,2026-02-18
김예은,충북고등학교,1,010-8115-8223,,Chungcheongbuk-do,충청북도,group,pending,20000,2026-02-03
김준서,충북고등학교,1,010-3722-2578,,Chungcheongbuk-do,충청북도,group,pending,20000,2026-02-18
